R, F=Q^2/(2R^4) (Q=1), L=4 pi rho, L_F, kappa=1+2F L_FF/L_F
2.432376395280115642e-05,1.428390271188027136e+18,2.042218015628493433e+01,1.206854177178176798e-33,nan
2.433074453994213922e-05,1.426751733167406336e+18,2.042218015628493433e+01,1.209627766885021896e-33,nan
2.433772713041602943e-05,1.425115074749931008e+18,2.042218015628493433e+01,1.212407730849839783e-33,nan
2.434471172479776591e-05,1.423480293779463680e+18,2.042218015628493433e+01,1.215194083721939226e-33,nan
2.435169832366242983e-05,1.421847388102347264e+18,2.042218015628493433e+01,1.217986840184290091e-33,nan
2.435868692758529208e-05,1.420216355567388160e+18,2.042218015628493433e+01,1.220786014953612464e-33,nan
2.436567753714176585e-05,1.418587194025866240e+18,2.042218015628493433e+01,1.223591622780443873e-33,nan
2.437267015290745070e-05,1.416959901331521280e+18,2.042218015628493433e+01,1.226403678449225332e-33,nan
2.437966477545809186e-05,1.415334475340559616e+18,2.042218015628493433e+01,1.229222196778371647e-33,nan
2.438666140536961414e-05,1.413710913911643648e+18,2.042218015628493433e+01,1.232047192620355572e-33,nan
2.439366004321810496e-05,1.412089214905892096e+18,2.042218015628493433e+01,1.234878680861784790e-33,nan
2.440066068957981102e-05,1.410469376186879488e+18,2.042218015628493433e+01,1.237716676423476144e-33,nan
2.440766334503115178e-05,1.408851395620628992e+18,2.042218015628493433e+01,1.240561194260540319e-33,nan
2.441466801014870595e-05,1.407235271075612672e+18,2.042218015628493433e+01,1.243412249362457100e-33,nan
2.442167468550921828e-05,1.405621000422748416e+18,2.042218015628493433e+01,1.246269856753153207e-33,nan
2.442868337168959951e-05,1.404008581535395584e+18,2.042218015628493433e+01,1.249134031491084915e-33,nan
2.443569406926693319e-05,1.402398012289352192e+18,2.042218015628493433e+01,1.252004788669317078e-33,nan
2.444270677881846211e-05,1.400789290562853632e+18,2.042218015628493433e+01,1.254882143415599429e-33,nan
2.444972150092159169e-05,1.399182414236570368e+18,2.042218015628493433e+01,1.257766110892448336e-33,nan
2.445673823615390015e-05,1.397577381193602560e+18,2.042218015628493433e+01,1.260656706297227717e-33,nan
2.446375698509312493e-05,1.395974189319479296e+18,2.042218015628493433e+01,1.263553944862227385e-33,nan
2.447077774831717291e-05,1.394372836502155776e+18,2.042218015628493433e+01,1.266457841854743440e-33,nan
2.447780052640411696e-05,1.392773320632008448e+18,2.042218015628493433e+01,1.269368412577160554e-33,nan
2.448482531993219599e-05,1.391175639601835008e+18,2.042218015628493433e+01,1.272285672367030136e-33,nan
2.449185212947981152e-05,1.389579791306850048e+18,2.042218015628493433e+01,1.275209636597153131e-33,nan
2.449888095562553449e-05,1.387985773644682752e+18,2.042218015628493433e+01,1.278140320675659728e-33,nan
2.450591179894810864e-05,1.386393584515372288e+18,2.042218015628493433e+01,1.281077740046092324e-33,nan
2.451294466002642338e-05,1.384803221821370368e+18,2.042218015628493433e+01,1.284021910187482673e-33,nan
2.451997953943955109e-05,1.383214683467532288e+18,2.042218015628493433e+01,1.286972846614438263e-33,nan
2.452701643776673018e-05,1.381627967361116160e+18,2.042218015628493433e+01,1.289930564877223919e-33,nan
2.453405535558735828e-05,1.380043071411782400e+18,2.042218015628493433e+01,1.292895080561839627e-33,nan
2.454109629348100584e-05,1.378459993531587840e+18,2.042218015628493433e+01,1.295866409290105553e-33,nan
2.454813925202739913e-05,1.376878731634987008e+18,2.042218015628493433e+01,1.298844566719743293e-33,nan
2.455518423180644402e-05,1.375299283638823168e+18,2.042218015628493433e+01,1.301829568544461573e-33,nan
2.456223123339820562e-05,1.373721647462331648e+18,2.042218015628493433e+01,1.304821430494033912e-33,nan
2.456928025738291504e-05,1.372145821027134720e+18,2.042218015628493433e+01,1.307820168334384144e-33,nan
2.457633130434097281e-05,1.370571802257236992e+18,2.042218015628493433e+01,1.310825797867670755e-33,nan
2.458338437485294210e-05,1.368999589079026944e+18,2.042218015628493433e+01,1.313838334932366936e-33,nan
2.459043946949955546e-05,1.367429179421270272e+18,2.042218015628493433e+01,1.316857795403346622e-33,nan
2.459749658886171826e-05,1.365860571215107328e+18,2.042218015628493433e+01,1.319884195191969681e-33,nan
2.460455573352048493e-05,1.364293762394055680e+18,2.042218015628493433e+01,1.322917550246157351e-33,nan
2.461161690405709625e-05,1.362728750893999104e+18,2.042218015628493433e+01,1.325957876550489399e-33,nan
2.461868010105294888e-05,1.361165534653191424e+18,2.042218015628493433e+01,1.329005190126277159e-33,nan
2.462574532508960884e-05,1.359604111612251392e+18,2.042218015628493433e+01,1.332059507031652317e-33,nan
2.463281257674880821e-05,1.358044479714159872e+18,2.042218015628493433e+01,1.335120843361652264e-33,nan
2.463988185661244846e-05,1.356486636904257024e+18,2.042218015628493433e+01,1.338189215248304428e-33,nan
2.464695316526259707e-05,1.354930581130240256e+18,2.042218015628493433e+01,1.341264638860710265e-33,nan
2.465402650328148756e-05,1.353376310342161152e+18,2.042218015628493433e+01,1.344347130405130269e-33,nan
2.466110187125151605e-05,1.351823822492424192e+18,2.042218015628493433e+01,1.347436706125069850e-33,nan
2.466817926975525826e-05,1.350273115535779840e+18,2.042218015628493433e+01,1.350533382301368447e-33,nan
2.467525869937544576e-05,1.348724187429326848e+18,2.042218015628493433e+01,1.353637175252278221e-33,nan
2.468234016069497950e-05,1.347177036132507136e+18,2.042218015628493433e+01,1.356748101333555567e-33,nan
2.468942365429693665e-05,1.345631659607102208e+18,2.042218015628493433e+01,1.359866176938546983e-33,nan
2.469650918076454342e-05,1.344088055817234432e+18,2.042218015628493433e+01,1.362991418498270154e-33,nan
2.470359674068125984e-05,1.342546222729347840e+18,2.042218015628493433e+01,1.366123842481529074e-33,nan
2.471068633463055947e-05,1.341006158312252160e+18,2.042218015628493433e+01,1.369263465394913529e-33,nan
2.471777796319623097e-05,1.339467860537056256e+18,2.042218015628493433e+01,1.372410303783008815e-33,nan
2.472487162696218496e-05,1.337931327377204480e+18,2.042218015628493433e+01,1.375564374228406002e-33,nan
2.473196732651249133e-05,1.336396556808468992e+18,2.042218015628493433e+01,1.378725693351801490e-33,nan
2.473906506243138935e-05,1.334863546808943616e+18,2.042218015628493433e+01,1.381894277812091086e-33,nan
2.474616483530329788e-05,1.333332295359037952e+18,2.042218015628493433e+01,1.385070144306459472e-33,nan
2.475326664571278484e-05,1.331802800441483264e+18,2.042218015628493433e+01,1.388253309570459228e-33,nan
2.476037049424460114e-05,1.330275060041321472e+18,2.042218015628493433e+01,1.391443790378108170e-33,nan
2.476747638148366027e-05,1.328749072145906688e+18,2.042218015628493433e+01,1.394641603541973846e-33,nan
2.477458430801504180e-05,1.327224834744902656e+18,2.042218015628493433e+01,1.397846765913260435e-33,nan
2.478169427442399465e-05,1.325702345830277888e+18,2.042218015628493433e+01,1.401059294381901976e-33,nan
2.478880628129593718e-05,1.324181603396305408e+18,2.042218015628493433e+01,1.404279205876647378e-33,nan
2.479592032921645037e-05,1.322662605439559424e+18,2.042218015628493433e+01,1.407506517365151255e-33,nan
2.480303641877129139e-05,1.321145349958910720e+18,2.042218015628493433e+01,1.410741245854063217e-33,nan
2.481015455054638003e-05,1.319629834955526144e+18,2.042218015628493433e+01,1.413983408389119043e-33,nan
2.481727472512780549e-05,1.318116058432866560e+18,2.042218015628493433e+01,1.417233022055227063e-33,nan
2.482439694310182977e-05,1.316604018396681216e+18,2.042218015628493433e+01,1.420490103976561731e-33,nan
2.483152120505486733e-05,1.315093712855010304e+18,2.042218015628493433e+01,1.423754671316649661e-33,nan
2.483864751157351897e-05,1.313585139818175488e+18,2.042218015628493433e+01,1.427026741278464738e-33,nan
2.484577586324455154e-05,1.312078297298781440e+18,2.042218015628493433e+01,1.430306331104518093e-33,nan
2.485290626065488770e-05,1.310573183311714816e+18,2.042218015628493433e+01,1.433593458076943804e-33,nan
2.486003870439162971e-05,1.309069795874137600e+18,2.042218015628493433e+01,1.436888139517595369e-33,nan
2.486717319504204584e-05,1.307568133005486336e+18,2.042218015628493433e+01,1.440190392788137737e-33,nan
2.487430973319357377e-05,1.306068192727470080e+18,2.042218015628493433e+01,1.443500235290132323e-33,nan
2.488144831943381381e-05,1.304569973064067584e+18,2.042218015628493433e+01,1.446817684465136050e-33,nan
2.488858895435054584e-05,1.303073472041522688e+18,2.042218015628493433e+01,1.450142757794787903e-33,nan
2.489573163853170558e-05,1.301578687688345856e+18,2.042218015628493433e+01,1.453475472800903694e-33,nan
